,Name,SMILES
284,['Methylene Bis(4-Cyclohexylisocyanate)'],C1CC(CCC1CC2CCC(CC2)N=C=O)N=C=O
285,['Mgk 264'],CCCCC(CC)CN1C(=O)C2C3CC(C2C1=O)C=C3
286,['2-Diphenylmethylpiperidine'],C1CCNC(C1)C(C2=CC=CC=C2)C3=CC=CC=C3
287,['Oxeladin'],CCC(CC)(C1=CC=CC=C1)C(=O)OCCOCCN(CC)CC
288,['7-Azabicyclo[4.1.0]heptane'],C1CCC2C(C1)N2
289,['4-Methyl-n-Oxidepyridine'],None
290,"['Ethanol, 2-(methylphenylamino)-']",CN(CCO)C1=CC=CC=C1
291,"['1,4-Piperazinedipropanamine']",C1CN(CCN1CCCN)CCCN
292,"['1,2-(di-(a-Pyridyl)ethylene']",None
293,['Diphenhydramine'],CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
294,"['1-Propanol, 2-(dimethylamino)-']",CC(CO)N(C)C
295,"['Pyrimidine, 2,4-Dimethyl-']",CC1=NC(=NC=C1)C
296,['Tybamate'],CCCCNC(=O)OCC(C)(CCC)COC(=O)N
297,['Bencyclane'],CN(C)CCCOC1(CCCCCC1)CC2=CC=CC=C2
298,['2-Amino-2-Methylpropanediol'],None
299,['1-Propylpiperidine'],CCCN1CCCCC1
300,['N-Nitrosodimethylamine'],CN(C)N=O
301,"['Acetic Acid, 2-(dimethylamino)ethyl Ester']",CC(=O)OCCN(C)C
302,['Oxotremorine'],C1CCN(C1)CC#CCN2CCCC2=O
303,['2-Butanone Oxime'],CC/C(=N/O)/C
304,"['1,3-Propanediol, 2-Amino-2-Ethyl-']",CCC(CO)(CO)N
305,['2-Ethyl Pyrazine'],CCC1=NC=CN=C1
306,"[""N,n'-Dimethylformamide""]",None
307,['Prolintane'],CCCC(CC1=CC=CC=C1)N2CCCC2
308,['1-Nitrobutane'],CCCC[N+](=O)[O-]
309,"['2-Furanmethanamine, Tetrahydro-']",C1CC(OC1)CN
310,"['Piperazine, 2-Methyl-']",CC1CNCCN1
311,"['Pyrimidine, 5-Methyl-']",CC1=CN=CN=C1
312,"['Ethanol, 2- (phenylmethyl)amino -']",None
313,['Crotamiton'],CCN(C1=CC=CC=C1C)C(=O)/C=C/C
314,['Cyphenothrin'],CC(=CC1C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C
315,"['Butanal, Oxime']",CCC/C=N/O
316,['4-Ethylpiperidine'],CCC1CCNCC1
317,['3-(1-Nitroso-2-Pyrrolidinyl)pyridine'],C1CC(N(C1)N=O)C2=CN=CC=C2
318,"['9h-Carbazole, 9-Ethenyl-']",C=CN1C2=CC=CC=C2C3=CC=CC=C31
319,['N-Butylpyrrolidine'],CCCCN1CCCC1
320,['1-[(2-Aminoethyl)amino]-2-Propanol'],None
321,"['2,5-Dimethylpyrazine']",CC1=CN=C(C=N1)C
322,['Heptanedinitrile'],C(CCC#N)CCC#N
323,"['3-Piperidinamine, 1-Ethyl-']",CCN1CCCC(C1)N
324,"['1,5-Dimethyl-Hexylamine']",None
325,['Octodrine'],CC(C)CCCC(C)N
326,['Triallylamine'],C=CCN(CC=C)CC=C
327,"['Pyrazine, 2,6-Dimethyl-']",CC1=CN=CC(=N1)C
328,"['Benzamide, N,n,4-Trimethyl-']",CC1=CC=C(C=C1)C(=O)N(C)C
329,"['Furazan, Dimethyl-']",CC1=NON=C1C
330,"['Pyrazine, 2,3-Dimethyl-']",CC1=NC=CN=C1C
331,['Heptylamine'],CCCCCCCN
332,"['2,2,4,6-Tetramethyl-Piperidine']",None
333,"['Piperidine, 2,2,6,6-Tetramethyl-']",CC1(CCCC(N1)(C)C)C
334,['Tripropylamine'],CCCN(CCC)CCC
335,['4-Hexyloxyaniline'],CCCCCCOC1=CC=C(C=C1)N
336,['4-Methylpentanitrile'],None
337,"['3,4-Methylenedioxyamphetamine']",CC(CC1=CC2=C(C=C1)OCO2)N
338,['1-Pentyl Nitrate'],None
339,['Nicotinamide'],C1=CC(=CN=C1)C(=O)N
340,['N-Benzylacetamide'],CC(=O)NCC1=CC=CC=C1
341,['8-Aminoquinoline'],C1=CC2=C(C(=C1)N)N=CC=C2
342,['Indole-3-Acetonitrile'],C1=CC=C2C(=C1)C(=CN2)CC#N
343,"['2,5-Dimethylpyridine']",CC1=CN=C(C=C1)C
344,['Glycerol-Beta-Nitrate'],None
345,"['Glycerol, 1-Nitrate']",C(C(CO[N+](=O)[O-])O)O
346,['2-(methylamino)ethanol'],CNCCO
347,['N-Methyl-o-Nitroaniline'],CNC1=CC=CC=C1[N+](=O)[O-]
348,['Isophorone Diisocyanate'],CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C
349,"['1,4-Butanediamine']",C(CCN)CN
350,"['2,4-Dimethylpyridine']",CC1=CC(=NC=C1)C
351,"['4,6-Dimethylpyrimidine']",CC1=CC(=NC=N1)C
352,['Lidocaine'],CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
353,['Prilocaine'],CCCNC(C)C(=O)NC1=CC=CC=C1C
354,['2-Vinylpyridine'],C=CC1=CC=CC=N1
355,['Dibutylamine'],CCCCNCCCC
356,['2-Isopropylpyridine'],CC(C)C1=CC=CC=N1
357,['Ethylamine'],CCN
358,['2-Cyanoquinoline'],C1=CC=C2C(=C1)C=CC(=N2)C#N
359,['Laurocapram'],CCCCCCCCCCCCN1CCCCCC1=O
360,['Benzydamine'],CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3
361,['Imipramine'],CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
362,['Tabernanthine'],CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=CC(=C5)OC
363,['Hexetidine'],CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N
364,['1-Amino-2-Propanol'],CC(CN)O
365,['Dmamp'],CC(C)(CO)N(C)C
366,['Cyclohexylmethylamine'],CNC1CCCCC1
367,"['1h-Benzotriazole, 4(or 5)-Methyl-']",CC1=CC=CC2=NNN=C12
368,['Phenylethanolamine'],C1=CC=C(C=C1)C(CN)O
369,"['Cyclohexanamine, N,n-Dimethyl-']",CN(C)C1CCCCC1
370,['Pyrolan'],CC1=NN(C(=C1)OC(=O)N(C)C)C2=CC=CC=C2
371,['Gravitol(e)'],CCN(CC)CCOC1=C(C=CC=C1OC)CC=C.Cl
372,"['Pyridine, 2-Ethyl-6-Methyl-']",CCC1=CC=CC(=N1)C
373,['4-(isopropylamino) Diphenylamine'],None
374,"['Diethylene Diglycol, Dinitrate']",None
375,"['2,3-Dimethylpyridine']",CC1=C(N=CC=C1)C
376,['3-Methyl-Butyraldehyde Oxime'],CC(C)CC=NO
377,"[""[1,1'-Biphenyl]-2,2'-Diamine""]",C1=CC=C(C(=C1)C2=CC=CC=C2N)N
