,Name,SMILES,A,B,C,Tmin,Tmax,No.C
1704,"3-Ethyl-2,2,3-trimethylhexane",CCCC(C)(CC)C(C)(C)C,19.84158298,3126.634246,-80.15,456,456,11
1705,"4-Ethyl-2,2,3-trimethylhexane",CCC(CC)C(C)C(C)(C)C,20.01713207,3158.663205,-77.15,449,449,11
1706,"3-Ethyl-2,2,4-trimethylhexane",CCC(C)C(CC)C(C)(C)C,20.01319465,3148.716037,-77.15,448,448,11
1707,"4-Ethyl-2,2,4-trimethylhexane",CCC(C)(CC)CC(C)(C)C,19.86665813,3111.022719,-78.15,451,451,11
1708,"3-Ethyl-2,2,5-trimethylhexane",CCC(CC(C)C)C(C)(C)C,20.03955925,3132.943329,-75.15,443,443,11
1709,"4-Ethyl-2,2,5-trimethylhexane",CCC(CC(C)(C)C)C(C)C,19.93377849,3077.197744,-73.15,439,439,11
1710,"4-Ethyl-2,3,3-trimethylhexane",CCC(CC)C(C)(C)C(C)C,19.9767217,3177.429273,-80.15,456,456,11
1711,"3-Ethyl-2,3,4-trimethylhexane",CCC(C)C(C)(CC)C(C)C,19.94782426,3183.415994,-82.15,460,460,11
1712,"4-Ethyl-2,3,4-trimethylhexane",CCC(C)(CC)C(C)C(C)C,19.9767217,3177.429273,-80.15,456,456,11
1713,"3-Ethyl-2,3,5-trimethylhexane",CCC(C)(CC(C)C)C(C)C,20.01713207,3158.663205,-77.15,449,449,11
1714,"3-Ethyl-2,4,5-trimethylhexane",CCC(C(C)C)C(C)C(C)C,20.133758,3202.043908,-78.15,450,450,11
1715,"3-Ethyl-2,4,4-trimethylhexane",CCC(C(C)C)C(C)(C)CC,20.00221132,3161.587488,-78.15,451,451,11
1716,"3-Ethyl-3,4,4-trimethylhexane",CCC(C)(C)C(C)(CC)CC,19.75947279,3112.220063,-85.15,463,463,11
1717,"2,2,3,3,4-Pentamethylhexane",CCC(C)C(C)(C)C(C)(C)C,19.78560714,3113.831873,-80.15,457,457,11
1718,"2,2,3,3,5-Pentamethylhexane",CC(C)CC(C)(C)C(C)(C)C,19.8340305,3078.095752,-76.15,447,447,11
1719,"2,2,3,4,4-Pentamethylhexane",CCC(C)(C)C(C)C(C)(C)C,19.77144624,3116.756156,-81.15,459,459,11
1720,"2,2,3,4,5-Pentamethylhexane",CC(C)C(C)C(C)C(C)(C)C,19.97197837,3133.426872,-76.15,447,447,11
1721,"2,3,3,4,4-Pentamethylhexane",CCC(C)(C)C(C)(C)C(C)C,19.77529155,3126.450039,-81.15,460,460,11
1722,"2,2,4-Trimethyl-3-(1-methylethyl)pentane",CC(C)C(C(C)C)C(C)(C)C,20.02523717,3144.686513,-73.15,443,443,11
1723,"2,3,4-Trimethyl-3-(1-methylethyl)pentane",CC(C)C(C)(C(C)C)C(C)C,20.16088245,3263.937395,-81.15,459,459,11
1724,"3,3-Diethyl-2,4-dimethylpentane",CCC(CC)(C(C)C)C(C)C,19.98779713,3191.336887,-85,462,462,11
1725,"3-Ethyl-2,2,3,4-tetramethylpentane",CCC(C)(C(C)C)C(C)(C)C,19.77144624,3116.756156,-81.15,459,459,11
1726,"3,5,5-Trimethyloctane",CCCC(C)(C)CC(C)CC,20.08844313,3168.057752,-76.15,446,446,11
1727,"4,4,5-Trimethyloctane",CCCC(C)C(C)(C)CCC,20.04731896,3186.93895,-79.15,453,453,11
1728,2-Methyl-4-propylheptane,CCCC(CCC)CC(C)C,20.28862987,3250.904764,-76.15,447,447,11
1729,3-Methyl-4-propylheptane,CCCC(CCC)C(C)CC,20.26178173,3267.161014,-78.15,452,452,11
1730,2-Methyl-4-(1-methylethyl)heptane,CCCC(CC(C)C)C(C)C,20.24395972,3225.599353,-75.15,445,445,11
1731,3-Methyl-4-(1-methylethyl)heptane,CCCC(C(C)C)C(C)CC,20.21701948,3241.717449,-77.15,450,450,11
1732,4-Methyl-4-(1-methylethyl)heptane,CCCC(C)(CCC)C(C)C,20.04731896,3186.93895,-79.15,453,453,11
1733,"3,4-Diethylheptane",CCCC(CC)C(CC)CC,20.12947519,3175.932593,-84,453,453,11
1734,"3,5-Diethylheptane",CCC(CC)CC(CC)CC,20.12514633,3165.732141,-84,452,452,11
1735,"3-Ethyl-2,2-dimethylheptane",CCCCC(CC)C(C)(C)C,19.94275857,3081.756863,-83,449,449,11
1736,2-Methyl-3-(1-methylethyl)hexane,CCCC(C(C)C)C(C)C,20.46060996,3318.025119,-68.45,326,470,10
1737,"2,5,6-Trimethyloctane",CCC(C)C(C)CCC(C)C,20.19774684,3234.533384,-78.15,451,451,11
1738,4-(1-Methylethyl)octane,CCCCC(CCC)C(C)C,20.25775221,3256.914511,-78.15,451,451,11
1739,3-Ethyl-2-methyloctane,CCCCCC(CC)C(C)C,20.16129692,3213.579859,-83,455,455,11
1740,4-Ethyl-2-methyloctane,CCCCC(CC)CC(C)C,20.13555402,3152.354122,-83,449,449,11
1741,5-Ethyl-2-methyloctane,CCCC(CC)CCC(C)C,20.14421174,3172.755025,-83,451,451,11
1742,6-Ethyl-2-methyloctane,CCC(CC)CCCC(C)C,20.13808686,3196.333497,-84,455,455,11
1743,4-Ethyl-3-methyloctane,CCCCC(CC)C(C)CC,20.13808686,3196.333497,-84,455,455,11
1744,5-Ethyl-3-methyloctane,CCCC(CC)CC(C)CC,20.13555402,3152.354122,-83,449,449,11
1745,3-Ethyl-6-methyloctane,CCC(C)CCC(CC)CC,20.13808686,3196.333497,-84,455,455,11
1746,3-Ethyl-4-methyloctane,CCCCC(C)C(CC)CC,20.14234664,3206.533949,-84,456,456,11
1747,4-Ethyl-5-methyloctane,CCCC(C)C(CC)CCC,20.12947519,3175.932593,-84,453,453,11
1748,3-Ethyl-5-methyloctane,CCCC(C)CC(CC)CC,20.15277735,3193.178955,-83,453,453,11
1749,"2,2,3-Trimethyloctane",CCCCCC(C)C(C)(C)C,20.04333548,3176.922705,-79.15,452,452,11
1750,"2,2,5-Trimethyloctane",CCCC(C)CCC(C)(C)C,20.10375532,3165.156495,-75.15,444,444,11
1751,"2,2,6-Trimethyloctane",CCC(C)CCCC(C)(C)C,20.09238055,3178.097023,-76.15,447,447,11
1752,"2,2,7-Trimethyloctane",CC(C)CCCCC(C)(C)C,20.08844313,3168.057752,-76.15,446,446,11
1753,"2,3,3-Trimethyloctane",CCCCCC(C)(C)C(C)C,20.03255939,3189.93231,-80.15,455,455,11
1754,"2,3,4-Trimethyloctane",CCCCC(C)C(C)C(C)C,20.18261886,3237.54977,-79.15,453,453,11
1755,"2,3,5-Trimethyloctane",CCCC(C)CC(C)C(C)C,20.19371732,3224.355957,-78.15,450,450,11
1756,"2,3,6-Trimethyloctane",CCC(C)CCC(C)C(C)C,20.18261886,3237.54977,-79.15,453,453,11
1757,"2,3,7-Trimethyloctane",CC(C)CCCC(C)C(C)C,20.17856631,3227.372344,-79.15,452,452,11
1758,"2,4,4-Trimethyloctane",CCCCC(C)(C)CC(C)C,20.10375532,3165.156495,-75.15,444,444,11
